tweetid,user,content,date,lang,value
7.68214E+17,3429794128,"@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA",Tue Aug 23 22:29:21 +0000 2016,es,N
7.68222E+17,396616007,Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps,Tue Aug 23 23:01:33 +0000 2016,es,P
7.68221E+17,2845050061,Vale he visto la tia bebiendose su regla y me hs dado muchs grima,Tue Aug 23 22:58:58 +0000 2016,es,N
7.6822E+17,442100979,@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal,Tue Aug 23 22:55:55 +0000 2016,es,P
7.68231E+17,529648312,@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,Tue Aug 23 23:39:32 +0000 2016,es,N
7.68231E+17,369649173,"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora",Tue Aug 23 23:39:17 +0000 2016,es,N
7.68224E+17,2683093804,@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que,Tue Aug 23 23:12:41 +0000 2016,es,N
7.68223E+17,572913138,@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido...,Tue Aug 23 23:07:25 +0000 2016,es,N
7.68229E+17,4404885016,Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar,Tue Aug 23 23:29:01 +0000 2016,es,N
7.68228E+17,542779679,"@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor",Tue Aug 23 23:28:05 +0000 2016,es,N
7.68019E+17,280549140,"Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará",Tue Aug 23 09:35:57 +0000 2016,es,NEU
7.68056E+17,1719716053,"@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt",Tue Aug 23 12:02:19 +0000 2016,es,P
7.68065E+17,7.138E+17,@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir,Tue Aug 23 12:40:43 +0000 2016,es,N
7.68064E+17,99989361,@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!!,Tue Aug 23 12:36:50 +0000 2016,es,P
7.68064E+17,1611426930,@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres,Tue Aug 23 12:33:41 +0000 2016,es,N
7.68063E+17,155963853,"@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos",Tue Aug 23 12:30:38 +0000 2016,es,NONE
7.68059E+17,2989751283,.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros!,Tue Aug 23 12:16:35 +0000 2016,es,N
7.68057E+17,2826300168,"Confirmao tengo el pie roto, he notado como el puto hueso se movía",Tue Aug 23 12:08:19 +0000 2016,es,N
7.68074E+17,99989361,@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!!,Tue Aug 23 13:15:41 +0000 2016,es,P
7.68074E+17,2521443957,@PUUNISSHER @KingKongJulen @xCoorsa @Yuniiiiitoo @YouTube oye corsa  que yo no he jugado contra puni en lan,Tue Aug 23 13:14:27 +0000 2016,es,NONE
7.68072E+17,365143716,"@Jordicanal64 Pues si no fichan ""lo que sea"" además de un ridículo espantoso igual QSF nos deja plantados...esperemos que no",Tue Aug 23 13:06:35 +0000 2016,es,N
7.68071E+17,45579875,@virsnroses cuando estén los 20 contactados y aprobados se publicará el listado en nuestra web,Tue Aug 23 13:04:48 +0000 2016,es,NONE
7.68084E+17,2881771313,"@edu_rnieves Te la recomiendo, parece monótona pero hay capítulos que vuelven a subir el interés",Tue Aug 23 13:53:26 +0000 2016,es,P
7.68083E+17,243287534,Ya no tengo capítulos de Juego de Tronos para ver. Me siento vacía.,Tue Aug 23 13:48:51 +0000 2016,es,N
7.68497E+17,598404732,@futbolero93 solo recuerda que Iman es tranquila,Wed Aug 24 17:17:00 +0000 2016,es,P
7.68497E+17,241257094,"@AlteaLaSueca en el debate que he estado leyendo, en el blog de Silvio @citaconsilvio lo pone el gran @feliuvicente citando al Che.",Wed Aug 24 17:14:21 +0000 2016,es,NONE
7.68557E+17,2307052880,"comprendo que te molen mis tattoos, pero no te los hagas 'iguales'",Wed Aug 24 21:14:24 +0000 2016,es,NEU
7.68557E+17,424708633,@_betterton @juanrallo para cometer atentados terroristas (2) No creo que entonces existiera el burkini,Wed Aug 24 21:14:22 +0000 2016,es,NONE
7.68512E+17,414042522,@morbosaborealis jajajaja... eso es verdad... aquí no hay uno cuerdo,Wed Aug 24 18:16:45 +0000 2016,es,N
7.68511E+17,1388971410,@xqwcrp @xoancarV Un lapsus advertido gracias a @Cascarelo y subsanado. Gracias por tu aportación.,Wed Aug 24 18:12:54 +0000 2016,es,P
7.68531E+17,88010751,@IvnLz el resto puedo dudar pero de ese grupo lo tengo claro,Wed Aug 24 19:29:25 +0000 2016,es,NEU
7.6853E+17,110294749,@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup,Wed Aug 24 19:28:42 +0000 2016,es,P
7.6853E+17,82183604,@Adriansoler espero y deseo que el interior te cause lo mismo,Wed Aug 24 19:26:34 +0000 2016,es,NEU
7.68529E+17,1482872964,"@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +",Wed Aug 24 19:24:06 +0000 2016,es,N
7.68529E+17,39974834,@Tabernita @ptraciogg pregunta seria.  para cuando kedada/cañas de gente twittera de la zona?,Wed Aug 24 19:23:46 +0000 2016,es,NONE
7.68529E+17,2453472282,"@GarbiMuguruza Yo cuando pueda quiero tener el Omega Constellation,, con los numéricos romanos.",Wed Aug 24 19:22:58 +0000 2016,es,P
7.68563E+17,363871375,@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal...,Wed Aug 24 21:36:19 +0000 2016,es,N
7.68563E+17,2539333134,Hoy quiero hacer otro juego de estos de tw pero esque son todos iguales,Wed Aug 24 21:36:04 +0000 2016,es,N
7.68562E+17,150293517,"@Eleder_ Que tampoco ahora mayoría absoluta, eh?",Wed Aug 24 21:35:23 +0000 2016,es,NONE
7.68562E+17,311621119,Por desgracia el sorteo que tenía pensado hacer es sólo para gente de Europa  Ya haré más sorteos para todo el mundo!,Wed Aug 24 21:34:50 +0000 2016,es,N
7.68561E+17,2337961695,Yo Me cago En los muertos De todas Las bacterias malignas De mi Garganta.,Wed Aug 24 21:31:35 +0000 2016,es,N
7.6856E+17,105629019,@reyminguela20 la próxima vez que vaya a Madrid no estarás en mis planes. Maldita,Wed Aug 24 21:24:19 +0000 2016,es,N
7.68565E+17,2163763112,@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía Nules,Wed Aug 24 21:45:17 +0000 2016,es,P
7.68565E+17,598404732,"@hayar_96 abandoné mi tierra y llegué justo ayer a España, estoy sensible, te odio",Wed Aug 24 21:44:40 +0000 2016,es,N
7.68544E+17,500021417,"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no",Wed Aug 24 20:23:07 +0000 2016,es,N
7.68544E+17,154927365,@Eduardo_Pers Ps que las exterminen. Por mi salud mental  (y pa que pueda dejar de hacer el ridículo por la calle jajajaj),Wed Aug 24 20:21:47 +0000 2016,es,N
7.68567E+17,424708633,"@Kosto_Trading @juanrallo Lo de prohibir el casco e ir enmascarado también es arbitrario y sectario, no?",Wed Aug 24 21:53:38 +0000 2016,es,N
7.68567E+17,20556318,@lirondos Ya lo tenía fichado y tengo ganas de darle uso  ¡¡Gracias!!,Wed Aug 24 21:52:46 +0000 2016,es,P
7.68511E+17,7.33646E+17,@radioskylab_es ¡Pero explicar a fondo las zonas habitables y que condiciones necesita un planeta para serlo!,Wed Aug 24 18:11:30 +0000 2016,es,NONE
7.68511E+17,285319032,"@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!",Wed Aug 24 18:09:32 +0000 2016,es,P
7.68526E+17,241257094,#Otegi inhabilitado #EsLaSentencia Mujeres tapadas hasta los ojos #EsSuCultura Teneis un sentido inamovible del mundo y de la vida.,Wed Aug 24 19:12:45 +0000 2016,es,N
7.68524E+17,35452550,"@santicid ay, gracias. Lo malo es que ese es solo para primer viaje. Pero mil gracias igualmente",Wed Aug 24 19:04:40 +0000 2016,es,P
7.68549E+17,250850522,"Madrid está lleno de comida y crushes, no me llevéis de aquí",Wed Aug 24 20:42:54 +0000 2016,es,N
7.68548E+17,215249614,@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este,Wed Aug 24 20:38:12 +0000 2016,es,N
7.68529E+17,763891759,"Es worth para coger el bonus, pero es mucho más divertido luchar",Wed Aug 24 19:21:41 +0000 2016,es,NEU
7.68548E+17,201691223,@iwanancho quiero un Linoone con Tambor y Velocidad Extrema pero es de esos especiales de generaciones pasadas que ya no se puede,Wed Aug 24 20:37:07 +0000 2016,es,N
7.68547E+17,601092357,"@Tidxs_ 27. Parece que las cosas no te van muy bien, espero que todo mejore, que todo el mundo merece ser feliz",Wed Aug 24 20:35:42 +0000 2016,es,NEU
7.68522E+17,2313533023,@MatiDiazWarrior @severinoiezzi @Maxisanchez06... ¡¡Nos sumamos a la felicitación a un grande!!,Wed Aug 24 18:54:37 +0000 2016,es,P
7.68546E+17,269484828,"@David_Goen00 venga jimbre, lo que debes haver es hacerte cadista",Wed Aug 24 20:30:32 +0000 2016,es,NEU
7.68546E+17,167346258,Dio tener un perro es la ilusión de mi puta vida,Wed Aug 24 20:28:51 +0000 2016,es,P
7.68545E+17,257216993,@RoyalDarjeeling Muy mal!!! jajaja mas Geralt de rivia y menos juego de tronos,Wed Aug 24 20:26:19 +0000 2016,es,N
7.68592E+17,3929804417,Por qué me gusta más tu personalidad que cualquier espalda ancha,Wed Aug 24 23:31:14 +0000 2016,es,P
7.68591E+17,307532998,@SergioSmiles Mirate D gray-man desde cero puta,Wed Aug 24 23:29:54 +0000 2016,es,N
7.68591E+17,470367253,"@BerothW Por supuesto, en el Mercadona. Hombre, encima que soy crush de alguien",Wed Aug 24 23:27:34 +0000 2016,es,NEU
7.6859E+17,373451203,hay alguien apuntando a mi ventana con un laser define pesadito,Wed Aug 24 23:24:15 +0000 2016,es,N
7.68586E+17,1380471302,No entiendo de verdad porque la gente cree que en realidad me la suda,Wed Aug 24 23:09:58 +0000 2016,es,N
7.68589E+17,591670163,"Llevo como una hora repitiendo ""No debí haber bebido ese último Monster"" teniendo que madrugar Mi vida.",Wed Aug 24 23:21:10 +0000 2016,es,N
7.68588E+17,412565048,"@BrujadelTuiters . Estas palabras, del Poema, INSTANTES, son de Nadine Stair. Escritora norteamericana, a la q le gustan los helados.",Wed Aug 24 23:17:28 +0000 2016,es,NEU
7.68556E+17,110294749,"@unculemadrid si al final acabamos hablando un rato, era muy simpática  @jovigobi",Wed Aug 24 21:10:30 +0000 2016,es,P
7.68578E+17,3034426558,Este año el Madrid hará triplete y si lo hace me rapo al cero  grabad el mensaje jejej #ChiringuitoPiqué,Wed Aug 24 22:37:20 +0000 2016,es,P
7.68578E+17,245414893,@valenciacf Mis sentimientos y mi orgullo por el Valencia son muy grandes. Yo quiero lo mejor para el Valencia.,Wed Aug 24 22:35:45 +0000 2016,es,P
7.68579E+17,1254955698,"@przuppo @lolap245 me quedo con lo primer ""un pensamiento en un clic""",Wed Aug 24 22:43:24 +0000 2016,es,NONE
7.68579E+17,1632978691,@Landspecies y sentimos empatia hacia cualquier ser vivo sin distinción,Wed Aug 24 22:40:26 +0000 2016,es,P
7.68576E+17,1972517863,Gracias tormenta por aparecer justo cuando me voy a meter en cama solita,Wed Aug 24 22:30:28 +0000 2016,es,N
7.68576E+17,461383458,@Monysito pues pocas cosas más bonitas puedes ver en la vida oye,Wed Aug 24 22:29:40 +0000 2016,es,P
7.68575E+17,2809090109,"@Graffitera23 qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos",Wed Aug 24 22:27:22 +0000 2016,es,P
7.68574E+17,461383458,@Monysito en la vida puede verseme una teta porque cuando me eche la foto no estaba desnuda,Wed Aug 24 22:23:04 +0000 2016,es,N
7.68581E+17,424708633,"@juanrallo Ya, ya. El edificio A sí, el edificio B no. Facilísimo de articular",Wed Aug 24 22:50:41 +0000 2016,es,P
7.68581E+17,2949869175,Mañana es muy probablee que caiga un directo!! Y ya sabeis lo que pasa en los directos...,Wed Aug 24 22:47:30 +0000 2016,es,NEU
7.68582E+17,620096178,@Paloma_cv12 el club de la comedia se ha quedado demasiado grande #monologuista Jaja,Wed Aug 24 22:53:43 +0000 2016,es,NEU
7.68582E+17,220410893,"Lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo",Wed Aug 24 22:51:49 +0000 2016,es,P
7.68581E+17,546668125,@Jorgeoneer ya pero no soy mucho de pc. No es muy potente el mío,Wed Aug 24 22:51:00 +0000 2016,es,N
7.685E+17,470544958,"@MiguelBarranco5 @llautet @BelenFGonzalez @pastoreta1 @BetEmilio @txemadomi @Minadeideas hola miguel no,ahora estoy en ella",Wed Aug 24 17:27:48 +0000 2016,es,NONE
7.68499E+17,1829861191,Nominada por @learamartell Aquí van nuestras pelis y nuestros taggeados.  https://t.co/hWqxW19Rjr,Wed Aug 24 17:25:26 +0000 2016,es,NONE
7.68505E+17,459466570,Ya me está jodiendo la tarde Pep...bueno me.voy a dar un.paseo,Wed Aug 24 17:46:16 +0000 2016,es,N
7.68509E+17,241257094,"@aitor48 Prohibirlo, no. Se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo",Wed Aug 24 18:02:56 +0000 2016,es,N
7.68509E+17,256943180,@Lahierritos pues sabran més q jo *curso CCC de mirones y mironas,Wed Aug 24 18:02:44 +0000 2016,es,N
