tweetid,user,content,date,lang,value
7.68225E+17,14628107,@NoilyMV yo soy totalmente puntual,Tue Aug 23 23:16:23 +0000 2016,es,NONE
7.70077E+17,713600676,"@SandraCauffman Hola Sandrita. No le habia deseado un feliz dia de la madre, tarde pero seguro.¿ Sabe usted si Juno ha tomado mas fotos ?",Mon Aug 29 01:54:14 +0000 2016,es,P
7.71208E+17,120940293,Si andan haciendo eso mejor se quedaran calladitas jaja pero así se están quemando ellas mismas e insinuando que son unas metidas,Thu Sep 01 04:46:19 +0000 2016,es,N
7.71901E+17,2827444381,Que pereza quiero choco banano,Sat Sep 03 02:40:58 +0000 2016,es,N
7.72551E+17,60878511,"@robertobrenes Bueno, no es tanto lo mayor como cuánto de campo sea usted. Sos cartaguito en cada aspecto de tu vida, por lo visto.",Sun Sep 04 21:43:01 +0000 2016,es,N
7.72595E+17,7.61016E+17,Pasé todo el día buscando mi Baby Lips y lo acabo de encontrar. Estaba en la mesita de noche de fijo lo puse ahí dormida,Mon Sep 05 00:38:50 +0000 2016,es,NEU
7.72264E+17,373097882,"@doriamdiaz El de Halfon de Germinal se ve mortal. Y los de Mary Jo Bang se fueron volando, pero todavía quedan. En Duluoz hay de Salcedo",Sun Sep 04 02:45:38 +0000 2016,es,P
7.71141E+17,105199059,"Ahorita me van a cambiar las ligas de los brakets, Tengo alfajores argentinos en mi bulto, tengo hambre , ¿QUÉ HAGO? no puedo esperar más",Thu Sep 01 00:20:02 +0000 2016,es,NONE
7.73526E+17,763016797,"El amor es paciente, es bondadoso, no es envidioso ni orgulloso, no es egoísta, no guarda rencor. 1 Corintios 13:4-5 Buen día a todos",Wed Sep 07 14:18:05 +0000 2016,es,P
7.74596E+17,1411112113,"El amanecer respirando o2 puro, es más que un regalo... más si es a las 6:00 am frente al mar... preparando la mente con meditación.",Sat Sep 10 13:10:48 +0000 2016,es,P
7.74724E+17,353322123,Acabo de ver una chamaca con un piercing de mota en el ombligo. Lo peor es que tiene cara de que lo que fuma es jamón,Sat Sep 10 21:37:34 +0000 2016,es,N
7.73655E+17,105199059,"@ruthernandezj hahaha sq si tiene un 5 HACE RATO era de cambiarlo haha, yo creo que si aguanta el mio bastantito! Casi 1 año ya",Wed Sep 07 22:53:09 +0000 2016,es,NEU
7.74257E+17,50489263,"Acabo de ver a una excompañera de trabajo y me sentí tentado a saludarla. Con la trompa del carro, a 150kmph, intencionalmente.",Fri Sep 09 14:43:19 +0000 2016,es,N
7.74803E+17,49365786,@Colucci_99 ah si gracias Esas son las que he encontrado hasta ahora. Antes en pricesmart las vendían hace años pero ya no..,Sun Sep 11 02:55:12 +0000 2016,es,NONE
7.74852E+17,763016797,"Buenas noches papus, que descansen",Sun Sep 11 06:09:56 +0000 2016,es,P
7.74866E+17,78735781,Me faltan 50mil colones la única manera de hacer toda la entrada de Metallica es literal pichaseandome esta semana trabajar 12 horas,Sun Sep 11 07:02:44 +0000 2016,es,N
7.7336E+17,469008210,Alvarado velando por mi salud,Wed Sep 07 03:20:38 +0000 2016,es,NONE
7.73379E+17,84120089,"@josdav17 nunca hacen nada, hasta que exista según ellos más evidencia o sea aparecer más de 4 veces al día en tu casa no es válido",Wed Sep 07 04:33:42 +0000 2016,es,N
7.75116E+17,90819048,@Manryev ¡Me alegra muchísimo que te gustara! Igualmente un placer saludarte La próxima que vengás a SJ avisá con tiempo y vamos por café,Sun Sep 11 23:38:06 +0000 2016,es,P
7.6816E+17,1240046863,Hoy tengo 2 preguntas existenciales...1) ¿Por qué hoy esta haciendo TANTO frío? y 2) ¿Porque me volvió a dar hipo después de tantos años?,Tue Aug 23 18:57:48 +0000 2016,es,NONE
7.68204E+17,103368235,Aquí en #Chepe ¿dónde consigo un buen sartén de hierro? Vi unos en Universal marca GIBSON q ni siquiera aparecen en internet,Tue Aug 23 21:50:25 +0000 2016,es,NONE
7.6927E+17,243726408,@sancarlena77 @frankgrs nunca dije lo contrario,Fri Aug 26 20:29:13 +0000 2016,es,NONE
7.69306E+17,745941140,A mí me dan ganas de volarmelo pero me acuerdo de que mi pelo es un desmadre y me lo dejo quedito,Fri Aug 26 22:49:52 +0000 2016,es,N
7.69344E+17,1220081238,"Pobre Bastian Scheweisteinger lo que le está pasando en el United, es muy crack y el genio de Mou no lo quiere",Sat Aug 27 01:23:06 +0000 2016,es,P
7.6934E+17,38108969,"@kanygarcia esaaa la mejor de las suertes! Disfruta la noche, disfruta del #GranRex saludos desde Costa Rica! Buena vida, pura vida!!!",Sat Aug 27 01:04:21 +0000 2016,es,P
7.57259E+17,408201040,"""Mae mañana llego a las 10, cuidado te quedas dormida porque a las 10 estoy ahí"" -Liena, se quedó dormida y no ha llegado.",Sun Jul 24 16:59:35 +0000 2016,es,N
7.57247E+17,408201040,Mi familia va para la playa y yo por irresponsable tengo que quedarme haciendo los 1000 extra clases que tengo para el martes.,Sun Jul 24 16:12:54 +0000 2016,es,NONE
7.57252E+17,103368235,"@francetvinfo @mr_matth @France2tv Cómo?Por años él ha sido parte del Tour,junto con las bicis y las camisas amarilla. MUCHAS GRACIAS!!",Sun Jul 24 16:33:02 +0000 2016,es,P
7.57124E+17,144683262,Mejor me duermo buenas noches,Sun Jul 24 08:03:15 +0000 2016,es,NEU
7.57418E+17,4367411532,"Mi horario de este semestre es tan tan feo, que me tendré que despedir de mi poca vida social y del estreno de suicide squad",Mon Jul 25 03:32:06 +0000 2016,es,N
7.56912E+17,7.18604E+17,Sabia que no iba a ser un buen día cuando me dejó el bus y se me rompió la faja del bolso.,Sat Jul 23 18:02:18 +0000 2016,es,N
7.56521E+17,17639330,"Maes, la vida es una mierda: estén felices o no. Mejor sonrían y aprovechen el tiempo. Estar amargado no la va a hacer menos mierda.",Fri Jul 22 16:07:02 +0000 2016,es,NEU
7.5665E+17,2774677761,"@rociomoram29 que mal y por eso es que están jugando, yo creo q los jugadores viejos o de la casa deberían tener prioridad pero bueno...",Sat Jul 23 00:40:15 +0000 2016,es,N
7.56618E+17,7.12435E+17,Parce yo estoy igual @PaisaVlogs,Fri Jul 22 22:33:25 +0000 2016,es,NEU
7.56701E+17,105199059,Gracias a Dios cerrando con broche de oro! Dios siempre dando lo mejor a sus Hijos esta semana fue mucho mejor que la pasada! #thnksGod,Sat Jul 23 04:02:18 +0000 2016,es,P
7.56314E+17,1081884476,"Hola, soy Paulo y soy parte de la primera generación que va a tener resolución de problemas en bachi de mate",Fri Jul 22 02:23:03 +0000 2016,es,NONE
7.56355E+17,65718560,"@donovanrp excelente, cuando me den el carro lo molesto, igual no conozco a nadie mas q haga Uber asi que el bono es suyo",Fri Jul 22 05:05:56 +0000 2016,es,P
7.57793E+17,221930699,"@KristelS18 Acá tengo pero ugh, la canela no me gusta mucho es que es que me cae pesado, pero se me quitará.. Gracias Kris.",Tue Jul 26 04:23:40 +0000 2016,es,N
7.56184E+17,1129901852,Yo solo quiero dormir mas,Thu Jul 21 17:50:08 +0000 2016,es,N
7.75941E+17,763016797,"Buenas noches papus, que descansen",Wed Sep 14 06:16:35 +0000 2016,es,P
7.75928E+17,321093775,"Oiga @NarcosNetflix porque no me reviven a Escobar, pa que se ponga interesante la serie.! eh jajajaja ( es en serio)",Wed Sep 14 05:24:47 +0000 2016,es,N
7.56195E+17,65476740,El único senador q se dirigió en español a la audiencia republicana para apoyar a @realDonaldTrump es de padres costarricenses Qué pena!,Thu Jul 21 18:31:06 +0000 2016,es,N
7.58066E+17,42094769,"El horario me quedo tan perfecto y tengo tan buenas eectativas de los profes que ya quiero entrar a clases. Tan #bichoRaro, lo sé",Tue Jul 26 22:27:39 +0000 2016,es,P
7.55513E+17,2242118248,"@msroucks Wtf Yo tengo mi biblia firmada por el diablo Okno, pero eso es lo que se me vino a la mente :v",Tue Jul 19 21:22:35 +0000 2016,es,NONE
7.60676E+17,457080806,Sólo mi mamá logra por primera vez una cena en paz con TODA la familia Rodríguez Qué feliz soy de tener la madre que tengo,Wed Aug 03 03:17:11 +0000 2016,es,P
7.60711E+17,1717416344,"Yo vivo a 25 metros de la Basílica y salí a ver el juego de polvora de estos dos días, muy bonito #nadaquehacer",Wed Aug 03 05:38:37 +0000 2016,es,P
7.59199E+17,69747215,@AnaVM @Katagelon fijo está demasiado hermoso,Sat Jul 30 01:27:46 +0000 2016,es,P
7.60357E+17,2440055535,"Viendo Looking, Queers as Folk y así, me doy cuenta que nunca he tenido un grupo de mejores amigos gays. ¿alguien me adopta?",Tue Aug 02 06:11:05 +0000 2016,es,P
7.60178E+17,1191797700,Recuerdo cuando le escribía a mi hermana @Andreagraseq79 para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana,Mon Aug 01 18:17:35 +0000 2016,es,P
7.60586E+17,2774677761,"Hoy inicia la concachampions 2016-2017 pero realmente no importa porque no esta la @ldacr, en todo caso la voy a seguir porque si",Tue Aug 02 21:18:36 +0000 2016,es,N
7.6009E+17,1191797700,"Buenos días. Inicio de mes. A darlo todo, aunque sea ""más o menos bueno en algo"". Feliz inicio de semana",Mon Aug 01 12:29:40 +0000 2016,es,P
7.5923E+17,438910231,"Llego a la casa a las 9:20 caminando, no hay comida, todos están dormidos, mañana tengo clases a las 8am, todo esta bien",Sat Jul 30 03:30:35 +0000 2016,es,N
7.60756E+17,2824997388,"Lo termine a las 2 am hora Costa Rica, porque se me hizo súper adictivo. Me gusto pero no me encanto #LCshinyforflowers",Wed Aug 03 08:36:50 +0000 2016,es,P
7.61208E+17,537526167,Yo estoy triste por Raps,Thu Aug 04 14:33:15 +0000 2016,es,N
7.61702E+17,1119807014,"Fiesta bananera, día de la cerveza, Semana 14, último día de eeriencia y así no quieren que me vaya de parranda?",Fri Aug 05 23:14:47 +0000 2016,es,P
7.63031E+17,513757088,esta estupida de Abis a la par mía esperando a que saquen el desgraciado Trailer de Resident Evil fuck hasta as 12 md LA vamoooos,Tue Aug 09 15:16:44 +0000 2016,es,P
7.62834E+17,23546489,"@byCoba con agua, hielo regularmente para que se mantenga fresca y un poquito de azúcar a la semana, me han durado hasta más de 1 mes.",Tue Aug 09 02:11:31 +0000 2016,es,P
7.63043E+17,90932581,Nos encanta hacerte feliz @rubndu,Tue Aug 09 16:01:26 +0000 2016,es,P
7.64523E+17,2774677761,@miguesl21 en estas épocas no hay que decirle no a ningún trofeo y es conmemorativo para todos los equipos que ganen en la jornada,Sat Aug 13 18:04:56 +0000 2016,es,NEU
7.63093E+17,7.39189E+17,Yo ni se que le hice me deja de hablar de la nada y ni sabe cuanto la extraño. Chas gracias,Tue Aug 09 19:20:59 +0000 2016,es,N
7.62981E+17,270376299,Y las emergencias? La gente que necesita ir a hospitales? Los que esperan cita desde hace años? Ahhh no! Yo apoyo el paro nacional jijis,Tue Aug 09 11:57:00 +0000 2016,es,N
7.63163E+17,104178963,@nubecina entonces no es indigente ni tiene problemas mentales? Eso no justifica nada. La lanza como 1 muñeca a la calle,Tue Aug 09 23:58:18 +0000 2016,es,N
7.65285E+17,3276105882,No voy a poder ver a mi mamá el día de la madre. Por un hijo de la grandísima puta. Bien,Mon Aug 15 20:30:29 +0000 2016,es,N
7.64569E+17,4878793919,La Daniela me tienen griseada.,Sat Aug 13 21:07:11 +0000 2016,es,N
7.5812E+17,322639655,"@jdclarke totalmente, lo del físico se deja atrás cuando el una persona atractiva en todo sentido. Incluyendo sus propuestas y cerebro",Wed Jul 27 02:01:42 +0000 2016,es,P
7.55603E+17,3877070472,@lenaychantelle Cual es tu helado favorito y comida? Como te parecio Costa Rica cuando viniste y a donde fuiste? Sigueme pls saludos bye,Wed Jul 20 03:19:56 +0000 2016,es,NONE
7.55006E+17,745941140,Acabo de preguntarle al Mae de a la par que para donde va pero no fue por vina Esque estoy demasiado perdidaaaa,Mon Jul 18 11:48:36 +0000 2016,es,NONE
7.55235E+17,187024045,"Hoy están participando muchas más mujeres, lo que me alegra mucho. Ya sea para preguntas propias o para hacer preguntas por su pareja",Tue Jul 19 02:56:05 +0000 2016,es,P
7.58396E+17,104178963,"@me_aburris Sí he visto q los motociclistas andan especialmente violentos. Le pegan a los carros, los patean, le gritan a la gente y esto",Wed Jul 27 20:17:26 +0000 2016,es,N
7.55966E+17,120940293,"Lo bueno es que voy para Talamanca y Cahuita en una gira, lo malo es que es el finde antes del examen de analítica",Thu Jul 21 03:23:43 +0000 2016,es,NEU
7.58632E+17,1905692930,No me quiero levantar aiuda,Thu Jul 28 11:56:11 +0000 2016,es,N
7.58451E+17,7.54853E+17,"Mmm no quiero hacer spoiler pero hoy va a ver algo nuevo en el canal,lo podras ver en el nuevo video que subire en unas horas",Wed Jul 27 23:57:00 +0000 2016,es,NEU
7.66392E+17,63517743,"@hugozap quizá para profesionales no sea mucho,pero hay no remunerados principalmente femenino para quienes es un sueño, pasa en mi país",Thu Aug 18 21:50:31 +0000 2016,es,N
7.67053E+17,1115644706,X:¿Qué perfume usas? Yo: Victoria's Secret X: Ah yo uso uno de Pink que es más caro que ese!,Sat Aug 20 17:38:07 +0000 2016,es,N
7.6646E+17,1370692800,"Hay gente aficionada al fútbol, hay fanáticos, hay envenenados, y hay otros hijueeeeputas necios! Igual que todo en la vida",Fri Aug 19 02:23:07 +0000 2016,es,N
7.67171E+17,1307647634,@EsGermanDZ Quiero hacer una pregunta.  Si puedo? Yay.! Bueno la pregunta es.. ¿Vas o irías a un Jóvenes en Victoria?,Sun Aug 21 01:26:00 +0000 2016,es,NONE
